1,홍길동,92,83,54,229,76.3333333333,0
2,유관순,96,50,54,200,66.6666666667,0
3,이순신,64,94,57,215,71.6666666667,0
4,강감찬,89,63,85,237,79,0
5,김구,69,52,87,208,69.3333333333,0
6,김유신,64,59,66,189,63,0
7,홍길자,96,94,54,244,81.3333333333,0
8,홍길순,80,100,65,245,81.6666666667,0
9,길동스,67,98,76,241,80.3333333333,0
10,관순스,71,86,80,237,79,0
11,순신스,54,70,80,204,68,0
12,Kipp,67,80,92,239,79.6666666667,0
13,Hill,79,83,58,220,73.3333333333,0
14,Myrle,73,90,95,258,86,0
15,Sher,62,53,86,201,67,0
16,Erina,52,67,88,207,69,0
17,Luelle,55,65,68,188,62.6666666667,0
18,Birdie,71,52,78,201,67,0
19,Stepha,68,67,95,230,76.6666666667,0
20,Merwyn,57,59,63,179,59.6666666667,0
21,Temple,62,82,86,230,76.6666666667,0
22,Arlette,70,99,93,262,87.3333333333,0
23,Tammara,51,59,81,191,63.6666666667,0
24,Mufi,53,55,65,173,57.6666666667,0
25,Orsa,58,71,86,215,71.6666666667,0
26,Omar,58,78,64,200,66.6666666667,0
27,Sally,61,97,93,251,83.6666666667,0
28,Barnebas,51,96,79,226,75.3333333333,0
29,Brendin,87,80,70,237,79,0
30,Leandra,94,90,87,271,90.3333333333,0
31,Warden,84,96,55,235,78.3333333333,0
32,Cathrin,96,82,60,238,79.3333333333,0
33,Cherye,78,51,75,204,68,0
34,Findley,87,100,75,262,87.3333333333,0
35,Albrecht,92,52,50,194,64.6666666667,0
36,Jarvis,80,63,68,211,70.3333333333,0
37,Todd,74,96,94,264,88,0
38,Fifi,100,69,78,247,82.3333333333,0
39,Onfre,96,57,73,226,75.3333333333,0
40,Curr,70,51,81,202,67.3333333333,0
41,Pavia,51,74,91,216,72,0
42,Gilles,61,71,75,207,69,0
43,Skye,90,72,71,233,77.6666666667,0
44,Mark,65,53,59,177,59,0
45,Mellisa,70,50,86,206,68.6666666667,0
46,Tina,99,53,77,229,76.3333333333,0
47,Mozelle,85,86,77,248,82.6666666667,0
48,Valeda,96,82,97,275,91.6666666667,0
49,Sharlene,95,71,68,234,78,0
50,Freddi,70,100,59,229,76.3333333333,0
